cokey,chkey,hzname,hzdept_r,hzdepb_r,om_l,om_r,om_h,cec7_l,cec7_r,cec7_h,ph1to1h2o_l,ph1to1h2o_r,ph1to1h2o_h,awc_r,ksat_r,dbthirdbar_r,mukey,compname,comppct_r,drainagecl,taxorder,taxgrtgroup,musym,muname,sand_pct,silt_pct,clay_pct
26819635,80053293,H1,0,8,1.0,1.5,2.0,,,,4.2,5.4,6.6,0.13,9.17,1.3,542798,Ungers,85,Well drained,Ultisols,Hapludults,UbD,"Ungers extremely stony loam, 8 to 25 percent slopes",44.3,40.7,15.0
26819635,80053294,H2,8,102,0.0,0.25,0.5,,,,3.6,4.6,5.5,0.12,9.17,1.4,542798,Ungers,85,Well drained,Ultisols,Hapludults,UbD,"Ungers extremely stony loam, 8 to 25 percent slopes",44.3,40.7,15.0
26819637,80053302,A,0,25,2.0,3.0,4.0,5.5,8.3,11.0,4.2,5.4,6.6,0.13,9.17,1.3,542799,Ungers,93,Well drained,Ultisols,Hapludults,UbE,"Ungers extremely stony loam, 25 to 50 percent slopes",44.3,40.7,15.0
26819648,80053335,A,0,13,0.0,1.0,5.0,3.1,14.3,26.3,4.5,5.9,7.3,0.11,0.5,1.5,542801,Udorthents,95,Moderately well drained,Entisols,Udorthents,Ud,"Udorthents, loamy",42.1,37.9,20.0
26819837,80054191,Ap,0,25,1.5,3.0,4.0,5.4,8.5,12.9,5.0,6.3,6.5,0.14,9.17,1.44,557257,Gladstone,85,Well drained,Ultisols,Hapludults,1GeB,"Gladstone gravelly loam, 3 to 8 percent slopes",39.8,44.6,15.6
26819870,80054228,Ap,0,25,1.5,3.0,4.0,5.4,8.5,12.9,5.0,6.3,6.5,0.13,9.0,1.44,557258,Gladstone,85,Well drained,Ultisols,Hapludults,1GeC,"Gladstone gravelly loam, 8 to 15 percent slopes",39.8,44.6,15.6
26819652,80053349,A,0,25,2.0,3.0,4.0,,,,4.5,5.4,6.6,0.14,23.29,1.3,557260,Gladstone,90,Well drained,Ultisols,Hapludults,1GfD,"Gladstone gravelly loam, 8 to 25 percent slopes, very bouldery",42.7,38.3,19.0
26819654,80053358,A,0,25,2.0,3.0,4.0,,,,4.5,5.4,6.6,0.14,23.29,1.3,557261,Gladstone,90,Well drained,Ultisols,Hapludults,1GfF,"Gladstone gravelly loam, 25 to 55 percent slopes, very bouldery",42.7,38.3,19.0
26819657,80053370,A,0,20,2.0,3.0,4.0,,,,4.2,5.4,6.6,0.14,23.29,1.3,557295,Edgemont,90,Well drained,Ultisols,Hapludults,1EdB,"Edgemont channery sandy loam, 0 to 8 percent slopes, extremely stony",67.9,19.6,12.5
26819801,80053904,A,0,20,2.0,3.0,4.0,,,,3.6,4.0,6.6,0.14,23.29,1.3,557296,Edgemont,93,Well drained,Ultisols,Hapludults,1EdD,"Edgemont channery sandy loam, 8 to 25 percent slopes, extremely stony",69.6,23.9,6.5
26819804,80053912,A,0,20,2.0,3.0,4.0,,,,3.6,4.0,6.6,0.14,23.29,1.3,557297,Edgemont,93,Well drained,Ultisols,Hapludults,1EdF,"Edgemont channery sandy loam, 25 to 60 percent slopes, extremely stony",69.6,23.9,6.5
26819807,80053924,Ap,0,20,2.0,3.0,4.0,4.4,7.7,11.0,5.6,6.1,6.5,0.16,9.17,1.28,557298,Joanna,90,Well drained,Ultisols,Hapludults,1JnB,"Joanna loam, 3 to 8 percent slopes",44.8,41.2,14.0
26819810,80053936,Ap,0,20,2.0,3.0,4.0,4.4,7.7,11.0,5.6,6.1,6.5,0.16,9.17,1.28,557301,Joanna,90,Well drained,Ultisols,Hapludults,1JnC,"Joanna loam, 8 to 15 percent slopes",44.8,41.2,14.0
26819813,80053943,Ap,0,20,2.0,3.0,4.0,4.4,7.7,11.0,5.6,6.1,6.5,0.16,9.17,1.28,557302,Joanna,90,Well drained,Ultisols,Hapludults,1JnD,"Joanna loam, 15 to 25 percent slopes",44.8,41.2,14.0
26819816,80053955,A,0,20,3.0,4.0,5.0,,,,4.2,5.4,6.6,0.16,9.17,1.18,557319,Joanna,90,Well drained,Ultisols,Hapludults,1JpB,"Joanna loam, 0 to 8 percent slopes, extremely stony",45.3,43.2,11.5
26819822,80053971,A,0,20,3.0,4.0,5.0,,,,4.2,5.4,6.6,0.16,9.17,1.18,557320,Joanna,90,Well drained,Ultisols,Hapludults,1JpD,"Joanna loam, 8 to 25 percent slopes, extremely stony",45.3,43.2,11.5
26819660,80053381,A,0,20,3.0,4.0,5.0,,,,4.2,5.4,6.6,0.16,9.17,1.18,557325,Joanna,90,Well drained,Ultisols,Hapludults,1JpF,"Joanna loam, 25 to 60 percent slopes, extremely stony",45.3,43.2,11.5
