|9||"QUPA5"|"Quercus pagoda"|"cherrybark oak"|"26819732"|"138873765"
|6||"ABCO"|"Abies concolor"|"white fir"|"26819733"|"138873144"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"26819733"|"138873212"
|5||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819733"|"138873261"
|9||"PIAB"|"Picea abies"|"Norway spruce"|"26819733"|"138873486"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"26819733"|"138873549"
|6||"PIPU"|"Picea pungens"|"blue spruce"|"26819733"|"138873601"
|12||"PIST"|"Pinus strobus"|"eastern white pine"|"26819733"|"138873653"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"26819733"|"138873735"
|6||"THOC2"|"Thuja occidentalis"|"eastern arborvitae"|"26819733"|"138873790"
|3||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819733"|"138873862"
|6||"ABCO"|"Abies concolor"|"white fir"|"26819734"|"138873145"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"26819734"|"138873213"
|5||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819734"|"138873262"
|9||"PIAB"|"Picea abies"|"Norway spruce"|"26819734"|"138873487"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"26819734"|"138873538"
|6||"PIPU"|"Picea pungens"|"blue spruce"|"26819734"|"138873602"
|12||"PIST"|"Pinus strobus"|"eastern white pine"|"26819734"|"138873654"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"26819734"|"138873736"
|6||"THOC2"|"Thuja occidentalis"|"eastern arborvitae"|"26819734"|"138873791"
|3||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819734"|"138873863"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"26819739"|"138873166"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"26819739"|"138873303"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"26819739"|"138873312"
|7||"JUNI"|"Juglans nigra"|"black walnut"|"26819739"|"138873320"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819739"|"138873338"
|11||"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"26819739"|"138873393"
|8||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"26819739"|"138873511"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"26819739"|"138873691"
|8||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"26819739"|"138873701"
|9||"QUPA5"|"Quercus pagoda"|"cherrybark oak"|"26819739"|"138873766"
|5||"ABCO"|"Abies concolor"|"white fir"|"26819740"|"138873146"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"26819740"|"138873214"
|5||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819740"|"138873263"
|8||"PIAB"|"Picea abies"|"Norway spruce"|"26819740"|"138873476"
|7||"PINI"|"Pinus nigra"|"Austrian pine"|"26819740"|"138873539"
|5||"PIPU"|"Picea pungens"|"blue spruce"|"26819740"|"138873603"
|9||"PIST"|"Pinus strobus"|"eastern white pine"|"26819740"|"138873655"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"26819740"|"138873725"
|6||"THOC2"|"Thuja occidentalis"|"eastern arborvitae"|"26819740"|"138873792"
|3||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819740"|"138873852"
|6||"ABCO"|"Abies concolor"|"white fir"|"26819742"|"138873147"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"26819742"|"138873215"
|5||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819742"|"138873252"
|9||"PIAB"|"Picea abies"|"Norway spruce"|"26819742"|"138873477"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"26819742"|"138873540"
|6||"PIPU"|"Picea pungens"|"blue spruce"|"26819742"|"138873592"
|12||"PIST"|"Pinus strobus"|"eastern white pine"|"26819742"|"138873644"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"26819742"|"138873726"
|6||"THOC2"|"Thuja occidentalis"|"eastern arborvitae"|"26819742"|"138873793"
|3||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819742"|"138873853"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"26819743"|"138873167"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"26819743"|"138873304"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"26819743"|"138873313"
|7||"JUNI"|"Juglans nigra"|"black walnut"|"26819743"|"138873321"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819743"|"138873339"
|11||"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"26819743"|"138873394"
|8||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"26819743"|"138873512"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"26819743"|"138873692"
|8||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"26819743"|"138873702"
|9||"QUPA5"|"Quercus pagoda"|"cherrybark oak"|"26819743"|"138873767"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"26819871"|"138873404"
|9||"PIAB"|"Picea abies"|"Norway spruce"|"26819871"|"138873470"
|6||"PIGL"|"Picea glauca"|"white spruce"|"26819871"|"138873515"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"26819871"|"138873528"
|6||"PIPU"|"Picea pungens"|"blue spruce"|"26819871"|"138873597"
|3||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819871"|"138873840"
|5||"ABCO"|"Abies concolor"|"white fir"|"26819872"|"138873140"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"26819872"|"138873208"
|5||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819872"|"138873251"
|4||"LIAM"|"Ligustrum amurense"|"Amur privet"|"26819872"|"138873374"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"26819872"|"138873405"
|8||"PIAB"|"Picea abies"|"Norway spruce"|"26819872"|"138873471"
|7||"PINI"|"Pinus nigra"|"Austrian pine"|"26819872"|"138873529"
|5||"PIPU"|"Picea pungens"|"blue spruce"|"26819872"|"138873586"
|9||"PIST"|"Pinus strobus"|"eastern white pine"|"26819872"|"138873632"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"26819872"|"138873713"
|6||"THOC2"|"Thuja occidentalis"|"eastern arborvitae"|"26819872"|"138873786"
|3||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819872"|"138873841"
|6||"ABCO"|"Abies concolor"|"white fir"|"26819873"|"138873141"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"26819873"|"138873209"
|5||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819873"|"138873240"
|4||"LIAM"|"Ligustrum amurense"|"Amur privet"|"26819873"|"138873375"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"26819873"|"138873406"
|9||"PIAB"|"Picea abies"|"Norway spruce"|"26819873"|"138873472"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"26819873"|"138873530"
|6||"PIPU"|"Picea pungens"|"blue spruce"|"26819873"|"138873587"
|12||"PIST"|"Pinus strobus"|"eastern white pine"|"26819873"|"138873633"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"26819873"|"138873714"
|6||"THOC2"|"Thuja occidentalis"|"eastern arborvitae"|"26819873"|"138873787"
|3||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819873"|"138873842"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"26819878"|"138873168"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"26819878"|"138873305"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"26819878"|"138873314"
|7||"JUNI"|"Juglans nigra"|"black walnut"|"26819878"|"138873322"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819878"|"138873335"
|11||"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"26819878"|"138873395"
|8||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"26819878"|"138873513"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"26819878"|"138873693"
|8||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"26819878"|"138873704"
|9||"QUPA5"|"Quercus pagoda"|"cherrybark oak"|"26819878"|"138873768"
|6||"ABCO"|"Abies concolor"|"white fir"|"26819855"|"138873139"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"26819855"|"138873207"
|5||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819855"|"138873250"
|4||"LIAM"|"Ligustrum amurense"|"Amur privet"|"26819855"|"138873373"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"26819855"|"138873402"
|9||"PIAB"|"Picea abies"|"Norway spruce"|"26819855"|"138873481"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"26819855"|"138873526"
|6||"PIPU"|"Picea pungens"|"blue spruce"|"26819855"|"138873596"
|12||"PIST"|"Pinus strobus"|"eastern white pine"|"26819855"|"138873642"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"26819855"|"138873724"
|6||"THOC2"|"Thuja occidentalis"|"eastern arborvitae"|"26819855"|"138873785"
|3||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819855"|"138873851"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819528"|"138873836"
|3||"VIDE"|"Viburnum dentatum"|"southern arrowwood"|"26819528"|"138873813"
|8||"QUPA2"|"Quercus palustris"|"pin oak"|"26819528"|"138873710"
|9||"PIST"|"Pinus strobus"|"eastern white pine"|"26819528"|"138873680"
|6||"PINI"|"Pinus nigra"|"Austrian pine"|"26819528"|"138873575"
|5||"MAPO"|"Maclura pomifera"|"osageorange"|"26819528"|"138873443"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819528"|"138873328"
|4||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819528"|"138873288"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"26819528"|"138873177"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"26819530"|"138873307"
|7||"JUNI"|"Juglans nigra"|"black walnut"|"26819530"|"138873315"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819530"|"138873354"
|11||"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"26819530"|"138873388"
|8||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"26819530"|"138873506"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"26819530"|"138873686"
|8||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"26819530"|"138873696"
|9||"QUPA5"|"Quercus pagoda"|"cherrybark oak"|"26819530"|"138873761"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"26819530"|"138873297"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"26819530"|"138873160"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"26819534"|"138873161"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"26819534"|"138873298"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"26819534"|"138873308"
|7||"JUNI"|"Juglans nigra"|"black walnut"|"26819534"|"138873316"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819534"|"138873355"
|11||"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"26819534"|"138873389"
|8||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"26819534"|"138873507"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"26819534"|"138873687"
|8||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"26819534"|"138873697"
|9||"QUPA5"|"Quercus pagoda"|"cherrybark oak"|"26819534"|"138873762"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"26819537"|"138873178"
|4||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819537"|"138873289"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819537"|"138873356"
|5||"MAPO"|"Maclura pomifera"|"osageorange"|"26819537"|"138873444"
|6||"PINI"|"Pinus nigra"|"Austrian pine"|"26819537"|"138873576"
|9||"PIST"|"Pinus strobus"|"eastern white pine"|"26819537"|"138873681"
|8||"QUPA2"|"Quercus palustris"|"pin oak"|"26819537"|"138873711"
|3||"VIDE"|"Viburnum dentatum"|"southern arrowwood"|"26819537"|"138873814"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819537"|"138873837"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"26819542"|"138873179"
|4||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819542"|"138873290"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819542"|"138873357"
|5||"MAPO"|"Maclura pomifera"|"osageorange"|"26819542"|"138873445"
|6||"PINI"|"Pinus nigra"|"Austrian pine"|"26819542"|"138873577"
|9||"PIST"|"Pinus strobus"|"eastern white pine"|"26819542"|"138873682"
|8||"QUPA2"|"Quercus palustris"|"pin oak"|"26819542"|"138873712"
|3||"VIDE"|"Viburnum dentatum"|"southern arrowwood"|"26819542"|"138873815"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819542"|"138873838"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"26819543"|"138873192"
|4||"CRPH"|"Crataegus phaenopyrum"|"Washington hawthorn"|"26819543"|"138873291"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"26819543"|"138873358"
|5||"MAPO"|"Maclura pomifera"|"osageorange"|"26819543"|"138873446"
|6||"PINI"|"Pinus nigra"|"Austrian pine"|"26819543"|"138873578"
|9||"PIST"|"Pinus strobus"|"eastern white pine"|"26819543"|"138873683"
|8||"QUPA2"|"Quercus palustris"|"pin oak"|"26819543"|"138873755"
|3||"VIDE"|"Viburnum dentatum"|"southern arrowwood"|"26819543"|"138873816"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"26819543"|"138873882"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"26819552"|"138873193"
