|"Side Slope"|||"43195103"|"17088210"
|"Head Slope"|||"43195102"|"17088208"
|"Side Slope"|||"43195102"|"17088207"
|"Nose Slope"|||"43195101"|"17088206"
|"Side Slope"|||"43195101"|"17088205"
|"Nose Slope"|||"43195100"|"17088204"
|"Side Slope"|||"43195100"|"17088203"
|"Nose Slope"|||"43195099"|"17088202"
|"Side Slope"|||"43195099"|"17088201"
|"Nose Slope"|||"43195098"|"17088200"
|"Side Slope"|||"43195098"|"17088199"
|"Nose Slope"|||"43195097"|"17088198"
|"Side Slope"|||"43195097"|"17088197"
|"Nose Slope"|||"43195096"|"17088196"
|"Side Slope"|||"43195096"|"17088195"
|"Nose Slope"|||"43195237"|"17088397"
|"Side Slope"|||"43195237"|"17088396"
|"Side Slope"|||"43195236"|"17088395"
|||"Talf"|"43195235"|"17088394"
|"Interfluve"|||"43195234"|"17088393"
|"Head Slope"|||"43195233"|"17088392"
|"Side Slope"|||"43195233"|"17088391"
|"Interfluve"|||"43195095"|"17088194"
|"Side Slope"|||"43195095"|"17088193"
|"Interfluve"|||"43195094"|"17088191"
|"Side Slope"|||"43195094"|"17088192"
|"Interfluve"|||"43195093"|"17088190"
|"Side Slope"|||"43195093"|"17088189"
|"Head Slope"|||"43195092"|"17088188"
|"Side Slope"|||"43195092"|"17088187"
|"Side Slope"|||"43195091"|"17088186"
|"Base Slope"|||"43195247"|"17088409"
|"Head Slope"|||"43195246"|"17088408"
|"Side Slope"|||"43195246"|"17088407"
|"Head Slope"|||"43195245"|"17088406"
|"Side Slope"|||"43195245"|"17088405"
|"Base Slope"|||"43195090"|"17088185"
|"Head Slope"|||"43195089"|"17088184"
|"Side Slope"|||"43195089"|"17088183"
|"Head Slope"|||"43195088"|"17088182"
|"Side Slope"|||"43195088"|"17088181"
|||"Talf"|"43195086"|"17088180"
||"Tread"||"43195244"|"17088404"
|"Side Slope"|||"43195243"|"17088403"
|"Base Slope"|||"43195242"|"17088402"
|"Base Slope"|||"43195241"|"17088401"
|"Nose Slope"|||"43195193"|"17088338"
|"Side Slope"|||"43195193"|"17088337"
|"Side Slope"|||"43195192"|"17088336"
|"Side Slope"|||"43195191"|"17088335"
|"Nose Slope"|||"43195190"|"17088333"
|"Side Slope"|||"43195190"|"17088334"
|"Nose Slope"|||"43195189"|"17088332"
|"Side Slope"|||"43195189"|"17088331"
|"Side Slope"|||"43195188"|"17088330"
|"Nose Slope"|||"43195187"|"17088329"
|"Side Slope"|||"43195187"|"17088328"
|"Side Slope"|||"43195186"|"17088327"
|"Head Slope"|||"43195113"|"17088223"
|"Side Slope"|||"43195113"|"17088224"
|"Base Slope"|||"43195113"|"17088222"
|"Interfluve"|||"43195112"|"17088220"
|"Side Slope"|||"43195112"|"17088221"
|"Base Slope"|||"43195111"|"17088219"
|"Head Slope"|||"43195110"|"17088217"
|"Base Slope"|||"43195110"|"17088218"
|"Head Slope"|||"43195184"|"17088325"
|"Side Slope"|||"43195184"|"17088326"
|"Base Slope"|||"43195184"|"17088324"
|"Side Slope"|||"43195183"|"17088323"
|"Base Slope"|||"43195182"|"17088322"
|"Interfluve"|||"43195181"|"17088321"
|"Side Slope"|||"43195181"|"17088320"
|"Head Slope"|||"43195179"|"17088319"
|"Head Slope"|||"43195178"|"17088317"
|"Side Slope"|||"43195178"|"17088318"
|"Base Slope"|||"43195178"|"17088316"
|"Head Slope"|||"43195177"|"17088314"
|"Base Slope"|||"43195177"|"17088315"
"Mountainflank"||||"43195176"|"17088313"
"Mountainflank"||||"43195085"|"17088179"
|"Interfluve"|||"43195084"|"17088178"
|"Side Slope"|||"43195084"|"17088177"
|"Nose Slope"|||"43195083"|"17088176"
|"Side Slope"|||"43195083"|"17088175"
"Mountainflank"||||"43195082"|"17088174"
|"Head Slope"|||"43195081"|"17088172"
|"Side Slope"|||"43195081"|"17088173"
|"Base Slope"|||"43195081"|"17088171"
|"Nose Slope"|||"43195080"|"17088170"
|"Side Slope"|||"43195080"|"17088169"
"Mountainflank"||||"43195079"|"17088168"
|"Head Slope"|||"43195078"|"17088166"
|"Side Slope"|||"43195078"|"17088167"
|"Base Slope"|||"43195078"|"17088165"
|"Interfluve"|||"43195077"|"17088164"
|"Side Slope"|||"43195077"|"17088163"
|"Interfluve"|||"43195076"|"17088162"
|"Side Slope"|||"43195076"|"17088161"
|"Nose Slope"|||"43195075"|"17088160"
|"Side Slope"|||"43195075"|"17088159"
"Mountainflank"||||"43195074"|"17088158"
|"Head Slope"|||"43195073"|"17088156"
|"Side Slope"|||"43195073"|"17088157"
|"Base Slope"|||"43195073"|"17088155"
"Mountainflank"||||"43195072"|"17088154"
|"Interfluve"|||"43195071"|"17088153"
|"Side Slope"|||"43195071"|"17088152"
|"Head Slope"|||"43195070"|"17088150"
|"Side Slope"|||"43195070"|"17088151"
|"Base Slope"|||"43195070"|"17088149"
|"Side Slope"|||"43195069"|"17088148"
"Mountaintop"||||"43195068"|"17088147"
|"Base Slope"|||"43195067"|"17088146"
|"Interfluve"|||"43195066"|"17088145"
|"Head Slope"|||"43195065"|"17088143"
|"Side Slope"|||"43195065"|"17088144"
|"Base Slope"|||"43195065"|"17088142"
|"Interfluve"|||"43195064"|"17088141"
|"Side Slope"|||"43195063"|"17088140"
|"Interfluve"|||"43195062"|"17088137"
|"Nose Slope"|||"43195062"|"17088139"
|"Side Slope"|||"43195062"|"17088138"
|"Side Slope"|||"43195135"|"17088249"
|"Side Slope"|||"43195134"|"17088248"
|"Interfluve"|||"43195133"|"17088247"
|"Base Slope"|||"43195132"|"17088246"
|"Base Slope"|||"43195259"|"17088425"
|"Side Slope"|||"43195258"|"17088424"
|"Interfluve"|||"43195257"|"17088423"
|"Side Slope"|||"43195256"|"17088422"
|"Base Slope"|||"43195061"|"17088136"
|"Head Slope"|||"43195060"|"17088135"
|"Nose Slope"|||"43195059"|"17088133"
|"Side Slope"|||"43195059"|"17088134"
|"Head Slope"|||"43195058"|"17088132"
|"Nose Slope"|||"43195057"|"17088130"
|"Side Slope"|||"43195057"|"17088131"
|"Base Slope"|||"43195056"|"17088129"
"Mountainbase"||||"43195055"|"17088128"
"Mountaintop"||||"43195054"|"17088127"
"Mountainbase"||||"43195053"|"17088126"
"Mountainbase"||||"43195175"|"17088312"
"Upper third of mountainflank"||||"43195174"|"17088311"
"Mountainbase"||||"43195173"|"17088310"
"Mountainbase"||||"43195172"|"17088309"
"Center third of mountainflank"||||"43195171"|"17088308"
"Mountainbase"||||"43195170"|"17088307"
|"Base Slope"|||"43195169"|"17088306"
|"Nose Slope"|||"43195168"|"17088305"
|"Side Slope"|||"43195168"|"17088304"
|"Head Slope"|||"43195167"|"17088302"
|"Side Slope"|||"43195167"|"17088303"
|"Base Slope"|||"43195167"|"17088301"
|"Base Slope"|||"43195166"|"17088300"
|"Nose Slope"|||"43195165"|"17088299"
|"Side Slope"|||"43195165"|"17088298"
|"Head Slope"|||"43195164"|"17088296"
|"Side Slope"|||"43195164"|"17088297"
|"Base Slope"|||"43195164"|"17088295"
|"Base Slope"|||"43195163"|"17088294"
|"Nose Slope"|||"43195162"|"17088293"
|"Side Slope"|||"43195162"|"17088292"
|"Head Slope"|||"43195161"|"17088290"
|"Side Slope"|||"43195161"|"17088291"
|"Base Slope"|||"43195161"|"17088289"
|"Base Slope"|||"43195160"|"17088288"
|"Nose Slope"|||"43195159"|"17088287"
|"Side Slope"|||"43195159"|"17088286"
|"Nose Slope"|||"43195158"|"17088285"
|"Side Slope"|||"43195158"|"17088284"
|"Head Slope"|||"43195157"|"17088282"
|"Side Slope"|||"43195157"|"17088283"
|"Base Slope"|||"43195157"|"17088281"
|"Base Slope"|||"43195156"|"17088280"
|"Nose Slope"|||"43195155"|"17088279"
|"Side Slope"|||"43195155"|"17088278"
|"Head Slope"|||"43195154"|"17088276"
|"Side Slope"|||"43195154"|"17088277"
|"Base Slope"|||"43195154"|"17088275"
|"Nose Slope"|||"43195153"|"17088274"
|"Side Slope"|||"43195153"|"17088273"
|"Head Slope"|||"43195052"|"17088124"
|"Side Slope"|||"43195052"|"17088125"
|"Base Slope"|||"43195052"|"17088123"
|"Nose Slope"|||"43195051"|"17088122"
|"Side Slope"|||"43195051"|"17088121"
|"Base Slope"|||"43195050"|"17088120"
