100|146|152|183|183|183||"280145166"|"178581503"
0|0|0|15|53|91||"280145166"|"178581504"
15|53|91|100|146|152|"Wet"|"280145166"|"178581505"
100|146|152|183|183|183||"280145165"|"178581500"
0|0|0|15|53|91||"280145165"|"178581501"
15|53|91|100|146|152|"Wet"|"280145165"|"178581502"
100|146|152|183|183|183||"280145169"|"178581506"
0|0|0|15|53|91||"280145169"|"178581507"
15|53|91|100|146|152|"Wet"|"280145169"|"178581508"
0|0|0|15|53|91||"280145171"|"178581510"
100|146|152|183|183|183||"280145171"|"178581509"
15|53|91|100|146|152|"Wet"|"280145171"|"178581511"
100|146|152|183|183|183||"280145164"|"178581497"
0|0|0|15|53|91||"280145164"|"178581498"
15|53|91|100|146|152|"Wet"|"280145164"|"178581499"
100|146|152|183|183|183||"280145214"|"178581518"
0|0|0|15|53|91||"280145214"|"178581519"
15|53|91|100|146|152|"Wet"|"280145214"|"178581520"
100|146|152|183|183|183||"280145213"|"178581515"
0|0|0|15|53|91||"280145213"|"178581516"
15|53|91|100|146|152|"Wet"|"280145213"|"178581517"
100|146|152|183|183|183||"280145217"|"178581521"
0|0|0|15|53|91||"280145217"|"178581522"
15|53|91|100|146|152|"Wet"|"280145217"|"178581523"
100|146|152|183|183|183||"280145219"|"178581524"
0|0|0|15|53|91||"280145219"|"178581525"
15|53|91|100|146|152|"Wet"|"280145219"|"178581526"
100|146|152|183|183|183||"280145212"|"178581512"
0|0|0|15|53|91||"280145212"|"178581513"
15|53|91|100|146|152|"Wet"|"280145212"|"178581514"
|||183|183|183||"280145222"|"178581527"
0|0|0|46|69|91||"280145222"|"178581528"
46|69|91||||"Wet"|"280145222"|"178581529"
|||183|183|183||"280145223"|"178581530"
0|0|0|46|69|91||"280145223"|"178581531"
46|69|91||||"Wet"|"280145223"|"178581532"
|||183|183|183||"280145224"|"178581533"
0|0|0|46|69|91||"280145224"|"178581534"
46|69|91||||"Wet"|"280145224"|"178581535"
|||183|183|183||"280145232"|"178581536"
0|0|0|46|69|91||"280145232"|"178581537"
46|69|91||||"Wet"|"280145232"|"178581538"
0|0|0|46|69|91||"280145233"|"178581540"
|||183|183|183||"280145233"|"178581539"
46|69|91||||"Wet"|"280145233"|"178581541"
|||183|183|183||"280145270"|"178581542"
